tool,nthreads,size,repetitions,usec,speedup,,PThreads,1,2,4,8
PThreads,1,1000000,1000,6474747,1,,1000 rep,6335455,3265883,2493671,2538156
PThreads,2,500000,1000,3408469,1.899605659,,,6555332,3622328,2792521,2577409
PThreads,4,250000,1000,2766449,2.340454135,,,6274445,3312776,2959441,2681349
PThreads,8,125000,1000,2698191,2.399662218,,,6488592,3326371,2801706,2763326
PThreads,1,1000000,2000,3161379,1,,,6719912,3514991,2784907,2930715
PThreads,2,500000,2000,1637340,1.930801788,,Média,6474747.2,3408469.8,2766449.2,2698191
PThreads,4,250000,2000,1285851,2.458588903,,,,,,
PThreads,8,125000,2000,1256863,2.515293234,,PThreads,1,2,4,8
PThreads,1,1000000,4000,12664758,1,,2000 rep,3162894,1638375,1247217,1264164
PThreads,2,500000,4000,6554621,1.932187689,,,3149976,1633045,1330285,1256110
PThreads,4,250000,4000,5125714,2.470828064,,,3135322,1634932,1243437,1228844
PThreads,8,125000,4000,5141654,2.463168078,,,3152053,1651912,1314912,1251975
OpenMP,1,1000000,1000,3188231,1,,,3206650,1628437,1293407,1283224
OpenMP,2,500000,1000,1635935,1.948873886,,Média,3161379,1637340.2,1285851.6,1256863.4
OpenMP,4,250000,1000,1321262,2.413019522,,,,,,
OpenMP,8,125000,1000,1302781,2.447250152,,PThreads,1,2,4,8
OpenMP,1,1000000,2000,5471310,1,,4000 rep,12651873,6588015,5257526,4910951
OpenMP,2,500000,2000,2881856,1.898536915,,,12576320,6547691,5106995,4996147
OpenMP,4,250000,2000,2324487,2.353770961,,,12808500,6534872,5092082,5345016
OpenMP,8,125000,2000,2357830,2.320485362,,,12690097,6488902,5061284,5182741
OpenMP,1,1000000,4000,13077401,1,,,12597002,6613627,5110684,5273418
OpenMP,2,500000,4000,6889230,1.89823841,,Média,12664758.4,6554621.4,5125714.2,5141654.6
OpenMP,4,250000,4000,5567089,2.349055494,,,,,,
OpenMP,8,125000,4000,5607688,2.332048609,,OpenMP,1,2,4,8
,,,,,,,1000 rep,3182341,1598804,1298365,1308541
,,,,,,,,3201618,1629521,1296747,1264482
,,,,,,,,3261079,1633922,1412435,1318666
,,,,,,,,3164957,1675240,1320184,1364391
,,,,,,,,3131160,1642191,1278581,1257828
,,,,,,,Média,3188231,1635935.6,1321262.4,1302781.6
,,,,,,,,,,,
,,,,,,,OpenMP,1,2,4,8
,,,,,,,2000 rep,6794171,3545292,2686393,2757750
,,,,,,,,6454199,3428752,2733419,2878847
,,,,,,,,6552426,3511003,2838187,2939355
,,,,,,,,6483360,3335143,2972782,2811937
,,,,,,,,6543708,3470948,2716141,2759083
,,,,,,,Média,6565572.8,3458227.6,2789384.4,2829394.4
,,,,,,,,,,,
,,,,,,,OpenMP,1,2,4,8
,,,,,,,4000 rep,13199463,6872398,5934681,5594609
,,,,,,,,13073832,6941025,5848332,5750759
,,,,,,,,13125195,6882917,5512000,5789304
,,,,,,,,13217330,6890755,5257999,5518633
,,,,,,,,12771189,6859055,5282433,5385137
,,,,,,,Média,13077401.8,6889230,5567089,5607688.4
